box,Type,,Concentration,Mw.m,Mdw.m,Mdw.t,Mds.m,Mw.t,Msed.m,
16,bs,1,295.066,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bs,2,198.7675,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bs,3,316.5749,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bs,4,1640.8155,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bs,5,173.3281,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
17,bs,1,2590.6173,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bs,2,1072.1609,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bs,3,1581.694,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bs,4,1830.7267,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
18,bs,1,808.0289,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bs,2,225.2638,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bs,3,341.3252,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bs,4,252.1876,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
16,bb,1,47.8109,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bb,2,40.2328,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bb,3,42.1897,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bb,4,40.5399,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
17,bb,1,61.7337,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bb,2,52.5687,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bb,3,36.0659,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bb,4,56.7383,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
18,bb,1,32.6493,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bb,2,36.7948,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bb,3,41.2329,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bb,4,45.3105,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
16,bp,1,32.0447,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bp,2,24.9643,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bp,3,29.7976,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bp,4,29.4901,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
17,bp,1,26.2933,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bp,2,29.4114,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bp,3,30.2808,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bp,4,32.2088,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
18,bp,1,29.2675,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bp,2,24.3411,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bp,3,28.9736,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bp,4,27.408,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
16,bf,1,621.9461,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bf,2,299.6387,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
16,bf,3,339.406,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333,
17,bf,1,309.4991,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bf,2,352.9444,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
17,bf,3,352.4198,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667,
18,bf,1,364.2034,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
18,bf,2,820.6938,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333,
