Box,Isotope,s.mehg,w.mehg,dw.mehg,bs.mehg,bb.mehg,bp.mehg,bf.mehg,dw.tothg,ds.mehg,w.tothg,s.tothg
16,199,0.761433333,0.171483333,8.78965,71.599425,4.945225,3.367725,43.90616667,0.090033333,0.046833333,1.877433979,594.4362
16,200,1.5058,0.247233333,9.923683333,124.308125,9.7029,6.607675,85.96746667,0.160166667,0.071333333,6.056070129,535.1636
16,201,2.473333333,0.42395,16.96313333,176.648875,11.941175,8.13195,108.5633667,0.211683333,0.1085,7.727683629,279.21925
16,202,10.31576667,0.475233333,18.45058333,240.24955,16.104025,10.966825,181.8932667,0.28085,0.104833333,10.91783548,525.2179
17,199,0.323233333,0.287483333,7.528183333,175.89052,5.997375,3.422675,34.0116,0.105916667,0.037833333,3.264654996,55.91756667
17,200,0.597166667,0.470066667,10.57903333,308.81182,11.767275,6.7155,65.58766667,0.186083333,0.075333333,7.522769931,53.88676667
17,201,0.960366667,0.807766667,21.18971667,427.01266,14.48175,8.264625,106.1736333,0.250383333,0.118666667,9.727740816,50.92156667
17,202,5.1585,0.911833333,23.94295,537.9904,19.53025,11.145775,132.5148667,0.322316667,0.121833333,12.28059431,55.8878
18,199,0.217233333,0.154583333,5.571516667,38.726825,4.517075,3.1851,25.0069,0.090566667,0.062833333,1.586187468,95.32716667
18,200,0.459733333,0.2682,10.9579,85.5515,8.8628,6.24935,106.11325,0.181916667,0.115666667,6.236900843,87.23056667
18,201,0.740733333,0.47545,20.62971667,121.3406,10.9073,7.69095,150.845,0.2455,0.183666667,8.495784441,85.39013333
18,202,3.236933333,0.512266667,22.88281667,161.08245,14.7097,10.37215,310.48345,0.318166667,0.214666667,10.92426436,83.62323333
