Time,Box,Type,Number,Sub,Analysis,199,200,201,202,196,
42,16,s,1,A,MeHg,1.6244,3.1689,5.2875,21.1716,0,
42,16,s,1,B,MeHg,0.1501,0.2641,0.3028,1.6986,0.3725,
42,16,s,1,C,MeHg,0.5098,1.0844,1.8297,8.0771,0,
42,17,s,1,A,MeHg,0,0.0388,0.0694,0.2742,0,
42,17,s,1,B,MeHg,0.0773,0.1457,0.1766,1.1197,0.2322,
42,17,s,1,C,MeHg,0.8924,1.607,2.6351,14.0816,0,
42,18,s,1,A,MeHg,0.2029,0.4727,0.7293,3.4209,0.0248,
42,18,s,1,B,MeHg,0.4047,0.798,1.3322,5.5498,0.196,
42,18,s,1,C,MeHg,0.0441,0.1085,0.1607,0.7401,0.1034,
42,16,s,1,A,TotHg,577.6761,600.386,548.4808,580.9726,22.5491,
42,16,s,1,B,TotHg,15.1906,10.9286,9.9577,11.7756,17.703,
42,16,s,1,C,TotHg,1190.4419,994.1762,982.6237,982.9055,11.4042,
42,17,s,1,A,TotHg,1.0228,3.1322,3.0188,2.9938,11.7763,
42,17,s,1,B,TotHg,7.0679,8.7333,8.5487,8.4877,8.6618,
42,17,s,1,C,TotHg,159.662,149.7948,141.1972,156.1819,7.884,
42,18,s,1,A,TotHg,127.9444,121.4581,120.4592,121.4217,14.2694,
42,18,s,1,B,TotHg,5.1413,5.3025,4.4063,5.5854,17.7852,
42,18,s,1,C,TotHg,152.8958,134.9311,131.3049,123.8626,17.2406,
42,16,s,1,A,MeHg/TotHg,0.0028,0.0053,0.0096,0.0364,0,
42,16,s,1,B,MeHg/TotHg,0.0099,0.0242,0.0304,0.1442,0.021,
42,16,s,1,C,MeHg/TotHg,0.0004,0.0011,0.0019,0.0082,0,
42,17,s,1,A,MeHg/TotHg,0,0.0124,0.023,0.0916,0,
42,17,s,1,B,MeHg/TotHg,0.0109,0.0167,0.0207,0.1319,0.0268,
42,17,s,1,C,MeHg/TotHg,0.0056,0.0107,0.0187,0.0902,0,
42,18,s,1,A,MeHg/TotHg,0.0016,0.0039,0.0061,0.0282,0.0017,
42,18,s,1,B,MeHg/TotHg,0.0787,0.1505,0.3023,0.9936,0.011,
42,18,s,1,C,MeHg/TotHg,0.0003,0.0008,0.0012,0.006,0.006,
24,16,w,1,,MeHg,0.1807,0.2565,0.4303,0.4681,0.1335,
24,16,w,2,,MeHg,0.1742,0.2579,0.4304,0.4834,0.135,
24,16,w,3,,MeHg,0.1764,0.2598,0.4403,0.5047,0.1491,
24,16,w,4,,MeHg,0.1521,0.2211,0.3871,0.4316,0.1638,
24,16,w,5,,MeHg,0.1747,0.2464,0.4365,0.4885,0.1262,
24,16,w,6,,MeHg,0.1708,0.2417,0.4191,0.4751,0.1162,
24,17,w,1,,MeHg,0.2661,0.4252,0.7252,0.8109,0.1256,
24,17,w,2,,MeHg,0.272,0.4378,0.7569,0.8604,0.1182,
24,17,w,3,,MeHg,0.2824,0.4624,0.8011,0.9061,0.1083,
24,17,w,4,,MeHg,0.3137,0.5305,0.8996,1.0156,0.1615,
24,17,w,5,,MeHg,0.3046,0.4869,0.8427,0.9419,0.1106,
24,17,w,6,,MeHg,0.2861,0.4776,0.8211,0.9361,0.0958,
24,18,w,1,,MeHg,0.1227,0.1987,0.3541,0.387,0.1407,
24,18,w,2,,MeHg,0.1592,0.2989,0.5085,0.5395,0.1156,
24,18,w,3,,MeHg,0.1454,0.2396,0.4553,0.4884,0.1286,
24,18,w,4,,MeHg,0.1517,0.2486,0.4467,0.4918,0.1326,
24,18,w,5,,MeHg,0.1745,0.3218,0.5534,0.5932,0.1399,
24,18,w,6,,MeHg,0.174,0.3016,0.5347,0.5737,0.1455,
38,16,dw,1,,MeHg,16.5336,19.7828,28.5941,30.98,13.343,
38,16,dw,2,,MeHg,8.0982,11.5981,20.5679,21.6752,9.7598,
38,16,dw,3,,MeHg,2.7852,1.9324,3.5544,5.155,12.3651,
38,16,dw,4,,MeHg,5.0784,4.6146,8.1597,9.9508,11.9967,
38,16,dw,5,,MeHg,13.4312,12.6232,20.253,18.9994,15.7415,
38,16,dw,6,,MeHg,6.8113,8.991,20.6497,23.9431,13.4466,
38,17,dw,1,,MeHg,3.7173,3.0288,7.2797,6.934,10.1703,
38,17,dw,2,,MeHg,14.7908,25.0498,44.5422,49.1402,4.5073,
38,17,dw,3,,MeHg,1.0805,0.275,3.6659,4.1116,7.7668,
38,17,dw,4,,MeHg,7.6313,8.8293,16.4168,20.0536,13.6386,
38,17,dw,5,,MeHg,4.3341,1.7823,11.2403,12.8309,10.5357,
38,17,dw,6,,MeHg,13.6151,24.509,43.9934,50.5874,9.6137,
38,18,dw,1,,MeHg,0.642,9.8499,18.4286,19.6044,6.9003,
38,18,dw,2,,MeHg,7.8791,14.6781,21.9047,24.865,9.7082,
38,18,dw,3,,MeHg,2.9227,1.4499,4.3065,4.3766,9.3181,
38,18,dw,4,,MeHg,6.349,7.2669,20.3874,23.8555,14.0978,
38,18,dw,5,,MeHg,5.1661,15.1431,27.9378,29.5595,17.6101,
38,18,dw,6,,MeHg,10.4702,17.3595,30.8133,35.0359,19.1321,
38,16,bs,1,,MeHg,34.2504,58.305,84.6472,117.8634,23.0547,
38,16,bs,2,,MeHg,25.8471,41.5196,56.0465,75.3543,22.3535,
38,16,bs,3,,MeHg,39.374,64.7661,90.8019,121.6329,32.2988,
38,16,bs,4,,MeHg,186.9262,332.6418,475.0999,646.1476,33.1706,
38,16,bs,5,,MeHg,22.9831,35.6392,48.6611,66.0447,23.1607,
38,17,bs,1,,MeHg,318.4087,558.6416,761.6744,951.8926,14.1035,
38,17,bs,2,,MeHg,127.6585,224.1372,319.7375,400.6277,18.0896,
38,17,bs,3,,MeHg,187.9841,336.9057,457.4575,599.3467,21.3154,
38,17,bs,4,,MeHg,222.4182,388.7354,547.5328,672.0403,15.3287,
38,18,bs,1,,MeHg,72.9846,168.0739,241.4449,325.5255,19.3793,
38,18,bs,2,,MeHg,23.7328,47.9698,66.8009,86.7603,20.4725,
38,18,bs,3,,MeHg,32.97,72.8527,101.4802,134.0223,13.8291,
38,18,bs,4,,MeHg,25.2199,53.3096,75.6364,98.0217,15.159,
38,16,bb,1,,MeHg,5.538,10.866,13.3725,18.0344,12.4096,
38,16,bb,2,,MeHg,4.6602,9.1437,11.253,15.1759,10.4426,
38,16,bb,3,,MeHg,4.8869,9.5884,11.8003,15.9141,10.9506,
38,16,bb,4,,MeHg,4.6958,9.2135,11.3389,15.2917,10.5223,
38,17,bb,1,,MeHg,7.1507,14.0302,17.2667,23.2861,16.0233,
38,17,bb,2,,MeHg,6.0891,11.9473,14.7033,19.829,13.6445,
38,17,bb,3,,MeHg,4.1776,8.1967,10.0875,13.6041,9.3611,
38,17,bb,4,,MeHg,6.5721,12.8949,15.8695,21.4018,14.7267,
38,18,bb,1,,MeHg,3.7818,7.4202,9.1319,12.3154,8.4743,
38,18,bb,2,,MeHg,4.262,8.3623,10.2914,13.8791,9.5503,
38,18,bb,3,,MeHg,4.7761,9.371,11.5327,15.5531,10.7022,
38,18,bb,4,,MeHg,5.2484,10.2977,12.6732,17.0912,11.7605,
38,16,bp,1,,MeHg,3.7118,7.2828,8.9628,12.0873,8.3173,
38,16,bp,2,,MeHg,2.8917,5.6736,6.9824,9.4166,6.4796,
38,16,bp,3,,MeHg,3.4515,6.7721,8.3343,11.2397,7.7341,
38,16,bp,4,,MeHg,3.4159,6.7022,8.2483,11.1237,7.6543,
38,17,bp,1,,MeHg,3.0456,5.9757,7.3541,9.9179,6.8246,
