Box,Biota,Conc,Log Conc,Mw.m,Mdw.m,Mdw.t,Mds.m,Mw.t,Msed.m
16,bs,524.9104,2.720085177,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333
17,bs,1768.799725,3.247678662,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667
18,bs,406.701375,2.609275641,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333
16,bb,42.693325,1.630359979,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333
17,bb,51.77665,1.714133948,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667
18,bb,38.996875,1.591029806,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333
16,bp,29.074175,1.4635074,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333
17,bp,29.548575,1.470536542,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667
18,bp,27.49755,1.439294,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333
16,bf,420.3302667,2.623590663,1.3179,54.12705,0.742773334,0.331410555,26.57902322,15.05633333
17,bf,338.2877667,2.529286293,2.47715,63.23988333,0.864697745,0.353741958,32.79576005,7.039266667
18,bf,592.4486,2.772650678,1.4105,60.04195,0.848440571,0.576772903,27.24313711,4.654633333
